scope	name	sha256
owner	build_kfields_key.py	a289601b0bf52f223661f63f64128717baabb9ab1d061055119474d3cc4321f9
owner	build_kfields_hard_review.py	1f74d181b4d8746cdcca8ad9703d6340d4fbeb38f1fad5534a204babbe553611
owner	build_kfields_hr_correction.py	d4a0323a43ddd8e68487347652986dedf16a9ec2a277ca41d82a55db3d248ed4
owner	build_kfields_final.py	bad84b2f9fab14443a167660dc631b8d556c143cf09233f54bf1c3b6b2649fee
owner	build_inventory_review.py	fcd18139f6c1393c55b81042820c3004ec8eae362fbe4bc7e219639c5754dcf7
owner	kf_lint.py	920742cf099fc56ed5773aee6d75e7e7ae180de949a96e2af420faa2f6135c2b
owner	audit_worker_access.py	9e4762e56c527d95c68b3737dd41d1c478337ed6d38ec0017ea048a855c32229
owner	raw_transport.py	12d4aca9a7bfd9a51303271b54433ad55058dad268e771cff757a3ea0b68a14a
owner	a1_reader.py	98055e556fdb0324c022f8f14db5ec463b4486914df48bda72b6c519e731e649
owner	build_exp5_contract.py	950506bfa9733f21915a5c2e0e62852d5510bb9f5d168baa5915cb6169597ee0
owner	validate_benchmark_inventory.py	68ce2c1b487e1e0f16a084562da99675951bc57e31c4657700fa387da2ef4193
owner	build_launch_manifest.py	7ec105a6325c8f92905515d314a6082702611dcfc3714bec21d8d10d7657254c
owner	key_lint.py	ff4c3a06cbd534796d29f755531880641cb173697151af70ac892b64ad12cf78
derived	regrade_1370.json	f587b7ab3d08933b49bd6f04f4d9ecc9eff8e043f1d41c33a60a6faeea170b7f
derived	conflicts_1370.json	29293450b302e7e158daef7591ccd3bf57967101b907f176ad298ae548f60728
phase-1_package	phase1.manifest.json	2592bd6d8396d0199da079957faacb40dc8cdbd2ddc4fa71d72a30018992d52b
phase-1_package	rules.txt	dae73ae098abeb7de4e2844a19398898714d0d1a89166d798486aa170c3a8b9a
kf-a4-phase1-196-20260821T163310Z	receipt	98ecc6762493a5a36a02ca785b836b2761a5dfa8602bd3789068231008573442
kf-a4-phase1-196-20260821T163310Z	finalization	45e0f404506c6178a11cd455ad8e5fe3e2a466bf5cb4b29ae743df67781f277e
kf-a4-phase1-196-20260821T163310Z	retry receipt	ec6f58b6ead6764e792e303613a566ecfc418b972a5abee17b75641a31a5875c
kf-a4-phase1-196-20260821T163310Z	retry finalization	008190ab7deca0a5d3a5c9180ad8819779891a569a3f69d6fc385ce4b6e5fdbe
hard-review_package	hard_review.manifest.json	3666352de6f9217bfc440a1f40fb7dce1182c2c9edd71d675c2f65626e8102e0
hard-review_package	item prefix	8b6e0952ea4ae88e51acc118dc8416567dbc2d96caca8b64f0a5b00285273437
hard-review_package	group prefix	ed4778c0e595d36574a49b306153ec58c35f4ef23205882bd5f064602437a800
kf-a4-hardreview-70-20260822T015053Z	receipt	13f0285fab13588bd6c7132d36bfd2a1d7636b11b9a867219fff19326dd121ba
kf-a4-hardreview-70-20260822T015053Z	finalization	92e4a63c7e907656f6dbf754d5edeba3174a453578806897b26a5cb46684efad
kf-a4-hardreview-70-20260822T015053Z	retry receipt	af042823e94ff7d002b57a1936ff446737299b130fc0b509ad70b3445d8b64a8
kf-a4-hardreview-70-20260822T015053Z	retry finalization	8e8ce1c7907396c836e3baee034e0b884cea675a1647bc98a266e656fab61dbd
correction_package	manifest	f8a43013a4ad38216cc3eeba90b324490ea616e8dfd1e40a69d5a3c64ab25254
correction_package	prefix	0037a9c3abf9993b2b3dd270c07fb523119c6cfef63fa6c1b142b1622b4102d2
kf-a4-hrfix-4-20260822T050131Z	receipt	4bcc3cc8fbaf5bddbcbd35866916cfcdef784be1eb357cc0b8bffcc4190ec56f
kf-a4-hrfix-4-20260822T050131Z	finalization	04a802d97e254fdcf8cc2023ea5e89536252745df9e23b7172f25224cf9e438e
final_seven-file_package	final.manifest.json	cc4d4d8e641340dbadd9977633d8f0abb5db66dc2528d22fc579915f395146fc
final_seven-file_package	prompt_prefix_final.txt	8bd77f7698876dae52b633ccf0e4bc5d5a3b4845c8d84f6348d9e30cdd16f8b5
final_seven-file_package	owner_rulings_1383.txt	a925ba6ffce6ae14a47c942f5c660c626d13c1060910c2e79055680c7632dbca
final_seven-file_package	decision_rules_1387.txt	d5830182899461c7a34f3eed3f3cc374a40412618f9c80e2047f029c6a933fb2
final_seven-file_package	v4_findings_1390.txt	0b669decd55e430fb86271378db177a0b1c2525eaa6ec6455dfbb22d7fdce6e0
final_seven-file_package	v5_findings_1394.txt	11a086123f4081be6561839527625ed42773faa800226520f6b7e01d6d98a1d1
final_seven-file_package	v6_findings_1396.txt	b9842d7db6d3454587fc6bda25ec9bec41c3183832010b2a3f6d5189dda43ef3
epoch	phase1	13d00b1f2a057701972b97d27f3dbb815e36ed72d9b284f76ff25f03e644c071
epoch	post	a289601b0bf52f223661f63f64128717baabb9ab1d061055119474d3cc4321f9
tool	a3_reaudit.py	357e028cefbcc29fc035e2d3e6ae0d5206ca2ddb9922505066b6749a630653cc
tool	a4_regrade.py	71258e3ee23c884f42228f6d9af0ae9a7ccb057ac1781571343d297e8b4a234a
tool	a4_conflicts.py	11fc86308ee44b5561ee510aec62056a894c3b504e71e216303fa1423b6efafd
baseline	a3_baseline.json	0e094aafdcfb6f71eea2529e029c5cf46c640e991e7be323ec8f4ebbf8966407
baseline	digest	c4a328ff7a77b967e9f49458b4c0ed81406fbb1545ac528cffd028475577dd22
baseline	files	45
regrade	primary_valid	184
regrade	primary_invalid	12
regrade	child_valid	38
regrade	child_invalid	6
regrade	selected	190
regrade	surplus	32
regrade	unresolved	6
conflicts	valid_envelopes	222
conflicts	ambiguities	169
conflicts	both_rejected	23
conflicts	locator_groups	7
inventory	history	b137e87e18e0dfd9fe2b698a18e4e1e388d491833ac247b6be5090a86087706d
inventory	final	57a1cdd01125bc1953a4e31c3f534760c2c15eaea4bf2d10c5c451a5e36d03ff
archive	archive_CODEX_1330.md	b0358a1d978203efd396c22fa02d123dc18005484dab3077252979617b3e8e41
archive	archive_CODEX_1333.md	99473829a143b04b7f1db579c301e0484a579ae6ee3162699fb4cffa444133df
git	base_commit	cd961e51d55bf13aa9311b79c5d7eca20e9b11cc
git	base_tree	74b231655193c14daccd877915daa051b078b330
invrev	events	36
invrev	proposals	168
invrev	prefix.md	0e57eab2c86fd350fffd93c2f405af99ba47b54d9e9fd378045107c1d47cc9a1
invrev	package.manifest.json	61d81718dafb26b21235520e1435ab278ad6828d5c2c5c53f5de88ce5a7eecc0
invrev	final_sign_input.template.json	e8d8e0ad3265e252d60886e770e00d6c0d19744ec33fb2e601414daacceedd52
invrev	inputs	36
invrev	inputs_combined	4fab5f6a2cba3182c6b145180a2383e46f53918c6b27d89059e86e593258b72c
